Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Source Code,Source,Unit,Value,Flag,Flag Description,Note
"GV","Drained organic soils","356","India","7230","Emissions (N2O)","6727","Cropland organic soils","2016","2016","3050","FAO TIER 1","kilotonnes","2.2834","E","Estimated value",""
"GV","Drained organic soils","356","India","7216","Net stock change (C)","6727","Cropland organic soils","2016","2016","3050","FAO TIER 1","kilotonnes","1816.3357","E","Estimated value",""
"GV","Drained organic soils","356","India","7273","Emissions (CO2)","6727","Cropland organic soils","2016","2016","3050","FAO TIER 1","kilotonnes","6659.8977","E","Estimated value",""
"GV","Drained organic soils","356","India","5026","Area","6727","Cropland organic soils","2017","2017","3050","FAO TIER 1","ha","94603.1849","E","Estimated value",""
"GV","Drained organic soils","356","India","7230","Emissions (N2O)","6727","Cropland organic soils","2017","2017","3050","FAO TIER 1","kilotonnes","2.2835","E","Estimated value",""
"GV","Drained organic soils","356","India","7216","Net stock change (C)","6727","Cropland organic soils","2017","2017","3050","FAO TIER 1","kilotonnes","1816.4502","E","Estimated value",""
"GV","Drained organic soils","356","India","7273","Emissions (CO2)","6727","Cropland organic soils","2017","2017","3050","FAO TIER 1","kilotonnes","6660.3175","E","Estimated value",""
"GV","Drained organic soils","356","India","5026","Area","6727","Cropland organic soils","2018","2018","3050","FAO TIER 1","ha","94643.8814","E","Estimated value",""
"GV","Drained organic soils","356","India","7230","Emissions (N2O)","6727","Cropland organic soils","2018","2018","3050","FAO TIER 1","kilotonnes","2.2846","E","Estimated value",""
"GV","Drained organic soils","356","India","7216","Net stock change (C)","6727","Cropland organic soils","2018","2018","3050","FAO TIER 1","kilotonnes","1817.2642","E","Estimated value",""
"GV","Drained organic soils","356","India","7273","Emissions (CO2)","6727","Cropland organic soils","2018","2018","3050","FAO TIER 1","kilotonnes","6663.3019","E","Estimated value",""
"GV","Drained organic soils","356","India","5026","Area","6727","Cropland organic soils","2019","2019","3050","FAO TIER 1","ha","93882.3044","E","Estimated value",""
"GV","Drained organic soils","356","India","7230","Emissions (N2O)","6727","Cropland organic soils","2019","2019","3050","FAO TIER 1","kilotonnes","2.2644","E","Estimated value",""
"GV","Drained organic soils","356","India","7216","Net stock change (C)","6727","Cropland organic soils","2019","2019","3050","FAO TIER 1","kilotonnes","1801.2168","E","Estimated value",""
"GV","Drained organic soils","356","India","7273","Emissions (CO2)","6727","Cropland organic soils","2019","2019","3050","FAO TIER 1","kilotonnes","6604.4617","E","Estimated value",""
"GV","Drained organic soils","356","India","5026","Area","6727","Cropland organic soils","2020","2020","3050","FAO TIER 1","ha","93806.0626","E","Estimated value",""
"GV","Drained organic soils","356","India","7230","Emissions (N2O)","6727","Cropland organic soils","2020","2020","3050","FAO TIER 1","kilotonnes","2.2627","E","Estimated value",""
"GV","Drained organic soils","356","India","7216","Net stock change (C)","6727","Cropland organic soils","2020","2020","3050","FAO TIER 1","kilotonnes","1799.8502","E","Estimated value",""
"GV","Drained organic soils","356","India","7273","Emissions (CO2)","6727","Cropland organic soils","2020","2020","3050","FAO TIER 1","kilotonnes","6599.4509","E","Estimated value",""
"GV","Drained organic soils","356","India","5026","Area","6728","Grassland organic soils","1990","1990","3050","FAO TIER 1","ha","12549.3936","E","Estimated value",""
"GV","Drained organic soils","356","India","7230","Emissions (N2O)","6728","Grassland organic soils","1990","1990","3050","FAO TIER 1","kilotonnes","0.3034","E","Estimated value",""
"GV","Drained organic soils","356","India","7216","Net stock change (C)","6728","Grassland organic soils","1990","1990","3050","FAO TIER 1","kilotonnes","60.3332","E","Estimated value",""
"GV","Drained organic soils","356","India","7273","Emissions (CO2)","6728","Grassland organic soils","1990","1990","3050","FAO TIER 1","kilotonnes","221.2218","E","Estimated value",""
"GV","Drained organic soils","356","India","5026","Area","6728","Grassland organic soils","1991","1991","3050","FAO TIER 1","ha","12549.3936","E","Estimated value",""
"GV","Drained organic soils","356","India","7230","Emissions (N2O)","6728","Grassland organic soils","1991","1991","3050","FAO TIER 1","kilotonnes","0.3034","E","Estimated value",""
"GV","Drained organic soils","356","India","7216","Net stock change (C)","6728","Grassland organic soils","1991","1991","3050","FAO TIER 1","kilotonnes","60.3332","E","Estimated value",""
"GV","Drained organic soils","356","India","7273","Emissions (CO2)","6728","Grassland organic soils","1991","1991","3050","FAO TIER 1","kilotonnes","221.2218","E","Estimated value",""
"GV","Drained organic soils","356","India","5026","Area","6728","Grassland organic soils","1992","1992","3050","FAO TIER 1","ha","12549.3936","E","Estimated value",""
"GV","Drained organic soils","356","India","7230","Emissions (N2O)","6728","Grassland organic soils","1992","1992","3050","FAO TIER 1","kilotonnes","0.3034","E","Estimated value",""
"GV","Drained organic soils","356","India","7216","Net stock change (C)","6728","Grassland organic soils","1992","1992","3050","FAO TIER 1","kilotonnes","60.3332","E","Estimated value",""
"GV","Drained organic soils","356","India","7273","Emissions (CO2)","6728","Grassland organic soils","1992","1992","3050","FAO TIER 1","kilotonnes","221.2218","E","Estimated value",""
"GV","Drained organic soils","356","India","5026","Area","6728","Grassland organic soils","1993","1993","3050","FAO TIER 1","ha","12549.3936","E","Estimated value",""
"GV","Drained organic soils","356","India","7230","Emissions (N2O)","6728","Grassland organic soils","1993","1993","3050","FAO TIER 1","kilotonnes","0.3034","E","Estimated value",""
"GV","Drained organic soils","356","India","7216","Net stock change (C)","6728","Grassland organic soils","1993","1993","3050","FAO TIER 1","kilotonnes","60.3332","E","Estimated value",""
"GV","Drained organic soils","356","India","7273","Emissions (CO2)","6728","Grassland organic soils","1993","1993","3050","FAO TIER 1","kilotonnes","221.2218","E","Estimated value",""
"GV","Drained organic soils","356","India","5026","Area","6728","Grassland organic soils","1994","1994","3050","FAO TIER 1","ha","12549.3936","E","Estimated value",""
"GV","Drained organic soils","356","India","7230","Emissions (N2O)","6728","Grassland organic soils","1994","1994","3050","FAO TIER 1","kilotonnes","0.3034","E","Estimated value",""
"GV","Drained organic soils","356","India","7216","Net stock change (C)","6728","Grassland organic soils","1994","1994","3050","FAO TIER 1","kilotonnes","60.3332","E","Estimated value",""
"GV","Drained organic soils","356","India","7273","Emissions (CO2)","6728","Grassland organic soils","1994","1994","3050","FAO TIER 1","kilotonnes","221.2218","E","Estimated value",""
"GV","Drained organic soils","356","India","5026","Area","6728","Grassland organic soils","1995","1995","3050","FAO TIER 1","ha","12049.2231","E","Estimated value",""
"GV","Drained organic soils","356","India","7230","Emissions (N2O)","6728","Grassland organic soils","1995","1995","3050","FAO TIER 1","kilotonnes","0.2913","E","Estimated value",""
"GV","Drained organic soils","356","India","7216","Net stock change (C)","6728","Grassland organic soils","1995","1995","3050","FAO TIER 1","kilotonnes","57.9318","E","Estimated value",""
"GV","Drained organic soils","356","India","7273","Emissions (CO2)","6728","Grassland organic soils","1995","1995","3050","FAO TIER 1","kilotonnes","212.4165","E","Estimated value",""
"GV","Drained organic soils","356","India","5026","Area","6728","Grassland organic soils","1996","1996","3050","FAO TIER 1","ha","11878.2609","E","Estimated value",""
"GV","Drained organic soils","356","India","7230","Emissions (N2O)","6728","Grassland organic soils","1996","1996","3050","FAO TIER 1","kilotonnes","0.2871","E","Estimated value",""
"GV","Drained organic soils","356","India","7216","Net stock change (C)","6728","Grassland organic soils","1996","1996","3050","FAO TIER 1","kilotonnes","57.0896","E","Estimated value",""
"GV","Drained organic soils","356","India","7273","Emissions (CO2)","6728","Grassland organic soils","1996","1996","3050","FAO TIER 1","kilotonnes","209.3286","E","Estimated value",""
"GV","Drained organic soils","356","India","5026","Area","6728","Grassland organic soils","1997","1997","3050","FAO TIER 1","ha","11253.6378","E","Estimated value",""
"GV","Drained organic soils","356","India","7230","Emissions (N2O)","6728","Grassland organic soils","1997","1997","3050","FAO TIER 1","kilotonnes","0.2733","E","Estimated value",""
"GV","Drained organic soils","356","India","7216","Net stock change (C)","6728","Grassland organic soils","1997","1997","3050","FAO TIER 1","kilotonnes","54.3446","E","Estimated value",""
"GV","Drained organic soils","356","India","7273","Emissions (CO2)","6728","Grassland organic soils","1997","1997","3050","FAO TIER 1","kilotonnes","199.2635","E","Estimated value",""
"GV","Drained organic soils","356","India","5026","Area","6728","Grassland organic soils","1998","1998","3050","FAO TIER 1","ha","11169.2373","E","Estimated value",""
"GV","Drained organic soils","356","India","7230","Emissions (N2O)","6728","Grassland organic soils","1998","1998","3050","FAO TIER 1","kilotonnes","0.2712","E","Estimated value",""
"GV","Drained organic soils","356","India","7216","Net stock change (C)","6728","Grassland organic soils","1998","1998","3050","FAO TIER 1","kilotonnes","53.9226","E","Estimated value",""
"GV","Drained organic soils","356","India","7273","Emissions (CO2)","6728","Grassland organic soils","1998","1998","3050","FAO TIER 1","kilotonnes","197.7162","E","Estimated value",""
"GV","Drained organic soils","356","India","5026","Area","6728","Grassland organic soils","1999","1999","3050","FAO TIER 1","ha","10187.1232","E","Estimated value",""
"GV","Drained organic soils","356","India","7230","Emissions (N2O)","6728","Grassland organic soils","1999","1999","3050","FAO TIER 1","kilotonnes","0.2465","E","Estimated value",""
