Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Months Code,Months,Year Code,Year,Unit,Value,Flag,Flag Description
"ET","Temperature change","356","India","7271","Temperature change","7001","January","1994","1994","°C","0.936","E","Estimated value"
"ET","Temperature change","356","India","7271","Temperature change","7001","January","1995","1995","°C","-0.731","E","Estimated value"
"ET","Temperature change","356","India","7271","Temperature change","7001","January","1996","1996","°C","0.638","E","Estimated value"
"ET","Temperature change","356","India","7271","Temperature change","7001","January","1997","1997","°C","-0.346","E","Estimated value"
"ET","Temperature change","356","India","7271","Temperature change","7001","January","1998","1998","°C","0.461","E","Estimated value"
"ET","Temperature change","356","India","7271","Temperature change","7001","January","1999","1999","°C","-0.041","E","Estimated value"
"ET","Temperature change","356","India","7271","Temperature change","7001","January","2000","2000","°C","0.674","E","Estimated value"
"ET","Temperature change","356","India","7271","Temperature change","7001","January","2001","2001","°C","0.255","E","Estimated value"
"ET","Temperature change","356","India","7271","Temperature change","7001","January","2002","2002","°C","0.518","E","Estimated value"
"ET","Temperature change","356","India","7271","Temperature change","7001","January","2003","2003","°C","0.022","E","Estimated value"
"ET","Temperature change","356","India","7271","Temperature change","7001","January","2004","2004","°C","0.29","E","Estimated value"
"ET","Temperature change","356","India","7271","Temperature change","7001","January","2005","2005","°C","0.486","E","Estimated value"
"ET","Temperature change","356","India","7271","Temperature change","7001","January","2006","2006","°C","0.786","E","Estimated value"
"ET","Temperature change","356","India","7271","Temperature change","7001","January","2007","2007","°C","0.886","E","Estimated value"
"ET","Temperature change","356","India","7271","Temperature change","7001","January","2008","2008","°C","0.339","E","Estimated value"
"ET","Temperature change","356","India","7271","Temperature change","7001","January","2009","2009","°C","1.681","E","Estimated value"
"ET","Temperature change","356","India","7271","Temperature change","7001","January","2010","2010","°C","0.302","E","Estimated value"
"ET","Temperature change","356","India","7271","Temperature change","7001","January","2011","2011","°C","-0.355","E","Estimated value"
"ET","Temperature change","356","India","7271","Temperature change","7001","January","2012","2012","°C","-0.131","E","Estimated value"
"ET","Temperature change","356","India","7271","Temperature change","7001","January","2013","2013","°C","0.149","E","Estimated value"
"ET","Temperature change","356","India","7271","Temperature change","7001","January","2014","2014","°C","0.275","E","Estimated value"
"ET","Temperature change","356","India","7271","Temperature change","7001","January","2015","2015","°C","0.029","E","Estimated value"
"ET","Temperature change","356","India","7271","Temperature change","7001","January","2016","2016","°C","1.192","E","Estimated value"
"ET","Temperature change","356","India","7271","Temperature change","7001","January","2017","2017","°C","0.866","E","Estimated value"
"ET","Temperature change","356","India","7271","Temperature change","7001","January","2018","2018","°C","0.678","E","Estimated value"
"ET","Temperature change","356","India","7271","Temperature change","7001","January","2019","2019","°C","0.237","E","Estimated value"
"ET","Temperature change","356","India","7271","Temperature change","7001","January","2020","2020","°C","0.313","E","Estimated value"
"ET","Temperature change","356","India","7271","Temperature change","7001","January","2021","2021","°C","1.118","E","Estimated value"
"ET","Temperature change","356","India","6078","Standard Deviation","7001","January","1961","1961","°C","0.531","E","Estimated value"
"ET","Temperature change","356","India","6078","Standard Deviation","7001","January","1962","1962","°C","0.531","E","Estimated value"
"ET","Temperature change","356","India","6078","Standard Deviation","7001","January","1963","1963","°C","0.531","E","Estimated value"
"ET","Temperature change","356","India","6078","Standard Deviation","7001","January","1964","1964","°C","0.531","E","Estimated value"
"ET","Temperature change","356","India","6078","Standard Deviation","7001","January","1965","1965","°C","0.531","E","Estimated value"
"ET","Temperature change","356","India","6078","Standard Deviation","7001","January","1966","1966","°C","0.531","E","Estimated value"
"ET","Temperature change","356","India","6078","Standard Deviation","7001","January","1967","1967","°C","0.531","E","Estimated value"
"ET","Temperature change","356","India","6078","Standard Deviation","7001","January","1968","1968","°C","0.531","E","Estimated value"
"ET","Temperature change","356","India","6078","Standard Deviation","7001","January","1969","1969","°C","0.531","E","Estimated value"
"ET","Temperature change","356","India","6078","Standard Deviation","7001","January","1970","1970","°C","0.531","E","Estimated value"
"ET","Temperature change","356","India","6078","Standard Deviation","7001","January","1971","1971","°C","0.531","E","Estimated value"
"ET","Temperature change","356","India","6078","Standard Deviation","7001","January","1972","1972","°C","0.531","E","Estimated value"
"ET","Temperature change","356","India","6078","Standard Deviation","7001","January","1973","1973","°C","0.531","E","Estimated value"
"ET","Temperature change","356","India","6078","Standard Deviation","7001","January","1974","1974","°C","0.531","E","Estimated value"
"ET","Temperature change","356","India","6078","Standard Deviation","7001","January","1975","1975","°C","0.531","E","Estimated value"
"ET","Temperature change","356","India","6078","Standard Deviation","7001","January","1976","1976","°C","0.531","E","Estimated value"
"ET","Temperature change","356","India","6078","Standard Deviation","7001","January","1977","1977","°C","0.531","E","Estimated value"
"ET","Temperature change","356","India","6078","Standard Deviation","7001","January","1978","1978","°C","0.531","E","Estimated value"
"ET","Temperature change","356","India","6078","Standard Deviation","7001","January","1979","1979","°C","0.531","E","Estimated value"
"ET","Temperature change","356","India","6078","Standard Deviation","7001","January","1980","1980","°C","0.531","E","Estimated value"
"ET","Temperature change","356","India","6078","Standard Deviation","7001","January","1981","1981","°C","0.531","E","Estimated value"
"ET","Temperature change","356","India","6078","Standard Deviation","7001","January","1982","1982","°C","0.531","E","Estimated value"
"ET","Temperature change","356","India","6078","Standard Deviation","7001","January","1983","1983","°C","0.531","E","Estimated value"
"ET","Temperature change","356","India","6078","Standard Deviation","7001","January","1984","1984","°C","0.531","E","Estimated value"
"ET","Temperature change","356","India","6078","Standard Deviation","7001","January","1985","1985","°C","0.531","E","Estimated value"
"ET","Temperature change","356","India","6078","Standard Deviation","7001","January","1986","1986","°C","0.531","E","Estimated value"
"ET","Temperature change","356","India","6078","Standard Deviation","7001","January","1987","1987","°C","0.531","E","Estimated value"
"ET","Temperature change","356","India","6078","Standard Deviation","7001","January","1988","1988","°C","0.531","E","Estimated value"
"ET","Temperature change","356","India","6078","Standard Deviation","7001","January","1989","1989","°C","0.531","E","Estimated value"
"ET","Temperature change","356","India","6078","Standard Deviation","7001","January","1990","1990","°C","0.531","E","Estimated value"
"ET","Temperature change","356","India","6078","Standard Deviation","7001","January","1991","1991","°C","0.531","E","Estimated value"
"ET","Temperature change","356","India","6078","Standard Deviation","7001","January","1992","1992","°C","0.531","E","Estimated value"
"ET","Temperature change","356","India","6078","Standard Deviation","7001","January","1993","1993","°C","0.531","E","Estimated value"
"ET","Temperature change","356","India","6078","Standard Deviation","7001","January","1994","1994","°C","0.531","E","Estimated value"
"ET","Temperature change","356","India","6078","Standard Deviation","7001","January","1995","1995","°C","0.531","E","Estimated value"
"ET","Temperature change","356","India","6078","Standard Deviation","7001","January","1996","1996","°C","0.531","E","Estimated value"
"ET","Temperature change","356","India","6078","Standard Deviation","7001","January","1997","1997","°C","0.531","E","Estimated value"
"ET","Temperature change","356","India","6078","Standard Deviation","7001","January","1998","1998","°C","0.531","E","Estimated value"
"ET","Temperature change","356","India","6078","Standard Deviation","7001","January","1999","1999","°C","0.531","E","Estimated value"
"ET","Temperature change","356","India","6078","Standard Deviation","7001","January","2000","2000","°C","0.531","E","Estimated value"
"ET","Temperature change","356","India","6078","Standard Deviation","7001","January","2001","2001","°C","0.531","E","Estimated value"
"ET","Temperature change","356","India","6078","Standard Deviation","7001","January","2002","2002","°C","0.531","E","Estimated value"
"ET","Temperature change","356","India","6078","Standard Deviation","7001","January","2003","2003","°C","0.531","E","Estimated value"
"ET","Temperature change","356","India","6078","Standard Deviation","7001","January","2004","2004","°C","0.531","E","Estimated value"
"ET","Temperature change","356","India","6078","Standard Deviation","7001","January","2005","2005","°C","0.531","E","Estimated value"
"ET","Temperature change","356","India","6078","Standard Deviation","7001","January","2006","2006","°C","0.531","E","Estimated value"
"ET","Temperature change","356","India","6078","Standard Deviation","7001","January","2007","2007","°C","0.531","E","Estimated value"
"ET","Temperature change","356","India","6078","Standard Deviation","7001","January","2008","2008","°C","0.531","E","Estimated value"
"ET","Temperature change","356","India","6078","Standard Deviation","7001","January","2009","2009","°C","0.531","E","Estimated value"
"ET","Temperature change","356","India","6078","Standard Deviation","7001","January","2010","2010","°C","0.531","E","Estimated value"
"ET","Temperature change","356","India","6078","Standard Deviation","7001","January","2011","2011","°C","0.531","E","Estimated value"
"ET","Temperature change","356","India","6078","Standard Deviation","7001","January","2012","2012","°C","0.531","E","Estimated value"
"ET","Temperature change","356","India","6078","Standard Deviation","7001","January","2013","2013","°C","0.531","E","Estimated value"
"ET","Temperature change","356","India","6078","Standard Deviation","7001","January","2014","2014","°C","0.531","E","Estimated value"
"ET","Temperature change","356","India","6078","Standard Deviation","7001","January","2015","2015","°C","0.531","E","Estimated value"
"ET","Temperature change","356","India","6078","Standard Deviation","7001","January","2016","2016","°C","0.531","E","Estimated value"
"ET","Temperature change","356","India","6078","Standard Deviation","7001","January","2017","2017","°C","0.531","E","Estimated value"
"ET","Temperature change","356","India","6078","Standard Deviation","7001","January","2018","2018","°C","0.531","E","Estimated value"
"ET","Temperature change","356","India","6078","Standard Deviation","7001","January","2019","2019","°C","0.531","E","Estimated value"
"ET","Temperature change","356","India","6078","Standard Deviation","7001","January","2020","2020","°C","0.531","E","Estimated value"
"ET","Temperature change","356","India","6078","Standard Deviation","7001","January","2021","2021","°C","0.531","E","Estimated value"
"ET","Temperature change","356","India","7271","Temperature change","7002","February","1961","1961","°C","-1.425","E","Estimated value"
